word,class,level
bother,verb,b1
bottle,noun,a1
bottom,adjective,a2
bottom,noun,a2
bowl,noun,a2
box,noun,a1
boy,noun,a1
boyfriend,noun,a1
brain,noun,a2
branch,noun,b1
brand,noun,b1
brand,verb,b1
brave,adjective,b1
bread,noun,a1
break,noun,a1
break,verb,a1
breakfast,noun,a1
breast,noun,b2
breath,noun,b1
breathe,verb,b1
breathing,noun,b1
bride,noun,b1
bridge,noun,a2
brief,adjective,b2
bright,adjective,a2
brilliant,adjective,a2
bring,verb,a1
broad,adjective,b2
broadcast,noun,b2
broadcast,verb,b2
broken,adjective,a2
brother,noun,a1
brown,adjective,a1
brown,noun,a1
brush,noun,a2
brush,verb,a2
bubble,noun,b1
budget,noun,b2
build,verb,a1
building,noun,a1
bullet,noun,b2
bunch,noun,b2
burn,noun,b2
burn,verb,a2
bury,verb,b1
bus,noun,a1
bush,noun,b2
business,noun,a1
businessman,noun,a2
busy,adjective,a1
but,conjunction,a1
but,preposition,b2
butter,noun,a1
button,noun,a2
buy,verb,a1
by,adverb,b1
by,preposition,a1
bye,exclamation,a1
cable,noun,b2
cafe,noun,a1
cake,noun,a1
calculate,verb,b2
call,noun,a1
call,verb,a1
calm,adjective,b1
calm,noun,b1
calm,verb,b1
camera,noun,a1
camp,noun,a2
camp,verb,a2
campaign,noun,b1
campaign,verb,b1
camping,noun,a2
campus,noun,b1
can,noun,a2
can,modal verb,a1
cancel,verb,b2
cancer,noun,b2
candidate,noun,b1
cannot,modal verb,a1
cap,noun,b1
capable,adjective,b2
capacity,noun,b2
capital,adjective,a1
capital,noun,a1
captain,noun,b1
capture,noun,b2
capture,verb,b2
car,noun,a1
card,noun,a1
care,noun,a2
care,verb,a2
career,noun,a1
careful,adjective,a2
carefully,adverb,a2
careless,adjective,b1
carpet,noun,a2
carrot,noun,a1
carry,verb,a1
cartoon,noun,a2
case,noun,a2
cash,noun,a2
cast,noun,b2
cast,verb,b2
castle,noun,a2
cat,noun,a1
catch,noun,b2
catch,verb,a2
category,noun,b1
cause,noun,a2
cause,verb,a2
CD,noun,a1
ceiling,noun,b1
celebrate,verb,a2
celebration,noun,b1
celebrity,noun,a2
cell,noun,b2
cent,noun,a1
central,adjective,b1
centre,noun,a1
centre,verb,b1
century,noun,a1
ceremony,noun,b1
certain,adjective,a2
certainly,adverb,a2
chain,noun,b1
chain,verb,b2
chair,noun,a1
chair,verb,b2
chairman,noun,b2
challenge,noun,b1
challenge,verb,b2
champion,noun,b1
chance,noun,a2
change,noun,a1
change,verb,a1
channel,noun,b1
chapter,noun,b1
character,noun,a2
characteristic,adjective,b2
characteristic,noun,b2
charge,noun,b1
charge,verb,b1
charity,noun,a2
chart,noun,a1
chart,verb,b2
chat,noun,a2
chat,verb,a2
cheap,adjective,a1
cheap,adverb,b1
cheat,noun,b1
cheat,verb,b1
check,noun,a2
check,verb,a1
cheerful,adjective,b1
cheese,noun,a1
chef,noun,a2
chemical,adjective,b1
chemical,noun,b1
chemistry,noun,a2
chest,noun,b1
chicken,noun,a1
chief,adjective,b2
chief,noun,b2
child,noun,a1
childhood,noun,b1
chip,noun,a2
chocolate,noun,a1
choice,noun,a2
choose,verb,a1
church,noun,a2
cigarette,noun,a2
cinema,noun,a1
circle,noun,a2
circle,verb,a2
circumstance,noun,b2
cite,verb,b2
citizen,noun,b2
city,noun,a1
civil,adjective,b2
claim,noun,b1
claim,verb,b1
class,noun,a1
classic,adjective,b2
classic,noun,b2
classical,adjective,a2
classroom,noun,a1
clause,noun,b1
clean,adjective,a1
clean,verb,a1
clear,adjective,a2
clear,verb,b1
clearly,adverb,a2
clever,adjective,a2
click,noun,b1
click,verb,b1
client,noun,b1
climate,noun,a2
climb,noun,b1
climb,verb,a1
clock,noun,a1
close,adjective,a2
close,adverb,b1
close,noun,b2
close,verb,a1
closed,adjective,a2
closely,adverb,b2
cloth,noun,b1
clothes,noun,a1
clothing,noun,a2
cloud,noun,a2
club,noun,a1
clue,noun,b1
coach,noun,a2
coach,verb,b1
coal,noun,b1
coast,noun,a2
coat,noun,a1
code,noun,a2
coffee,noun,a1
coin,noun,b1
cold,adjective,a1
cold,noun,a1
collapse,noun,b2
collapse,verb,b2
colleague,noun,a2
collect,verb,a2
collection,noun,b1
college,noun,a1
colour,noun,a1
coloured,adjective,b1
column,noun,a2
combination,noun,b2
combine,verb,b1
come,verb,a1
comedy,noun,a2
comfort,noun,b2
comfort,verb,b2
comfortable,adjective,a2
command,noun,b2
command,verb,b2
comment,noun,a2
comment,verb,b1
commercial,adjective,b1
commercial,noun,b1
commission,noun,b2
commission,verb,b2
commit,verb,b1
commitment,noun,b2
committee,noun,b2
common,adjective,a1
commonly,adverb,b2
communicate,verb,a2
communication,noun,b1
community,noun,a2
company,noun,a1
compare,verb,a1
comparison,noun,b1
compete,verb,a2
competition,noun,a2
competitive,adjective,b1
competitor,noun,b1
complain,verb,a2
complaint,noun,b1
complete,adjective,a1
complete,verb,a1
completely,adverb,a2
complex,adjective,b1
complex,noun,b2
complicated,adjective,b2
component,noun,b2
computer,noun,a1
concentrate,verb,b1
concentration,noun,b2
concept,noun,b2
concern,noun,b2
concern,verb,b2
concerned,adjective,b2
concert,noun,a1
conclude,verb,b1
conclusion,noun,b1
condition,noun,a2
conduct,noun,b2
conduct,verb,b2
conference,noun,a2
confidence,noun,b2
confident,adjective,b1
confirm,verb,b1
conflict,noun,b2
conflict,verb,b2
confuse,verb,b1
confused,adjective,b1
confusing,adjective,b2
connect,verb,a2
connected,adjective,a2
connection,noun,b1
conscious,adjective,b2
consequence,noun,b1
conservative,adjective,b2
conservative,noun,b2
consider,verb,a2
consideration,noun,b2
consist,verb,b1
consistent,adjective,b2
constant,adjective,b2
constantly,adverb,b2
construct,verb,b2
construction,noun,b2
consume,verb,b1
consumer,noun,b1
contact,noun,b1
contact,verb,b1
contain,verb,a2
container,noun,b1
contemporary,adjective,b2
content,noun,b1
contest,noun,b2
contest,verb,b2
context,noun,a2
continent,noun,a2
continue,verb,a2
continuous,adjective,b1
contract,noun,b2
contract,verb,b2
contrast,noun,b1
contrast,verb,b1
contribute,verb,b2
contribution,noun,b2
control,noun,a2
control,verb,a2
convenient,adjective,b1
conversation,noun,a1
convert,verb,b2
convince,verb,b1
convinced,adjective,b2
cook,noun,a2
cook,verb,a1
cooker,noun,a2
cooking,noun,a1
cool,adjective,a1
cool,verb,b1
copy,noun,a2
copy,verb,a2
core,adjective,b2
core,noun,b2
corner,noun,a2
corporate,adjective,b2
correct,adjective,a1
correct,verb,a1
correctly,adverb,a2
cost,noun,a1
cost,verb,a1
costume,noun,b1
cottage,noun,b1
cotton,noun,b1
could,modal verb,a1
council,noun,b2
count,noun,b1
count,verb,a2
country,noun,a1
countryside,noun,b1
county,noun,b2
couple,noun,a2
courage,noun,b2
course,noun,a1
court,noun,b1
cousin,noun,a1
cover,noun,b1
cover,verb,a2
covered,adjective,b1
cow,noun,a1
crash,noun,b2
crash,verb,b2
crazy,adjective,a2
cream,adjective,b1
cream,noun,a1
create,verb,a1
creation,noun,b2
creative,adjective,a2
creature,noun,b2
credit,noun,a2
credit,verb,b2
crew,noun,b2
crime,noun,a2
criminal,adjective,b1
criminal,noun,a2
crisis,noun,b2
criterion,noun,b2
critic,noun,b2
critical,adjective,b2
criticism,noun,b2
criticize,verb,b2
crop,noun,b2
cross,noun,a2
cross,verb,a2
crowd,noun,a2
crowded,adjective,a2
crucial,adjective,b2
cruel,adjective,b1
cry,noun,b2
cry,verb,a2
cultural,adjective,b1
culture,noun,a1
cup,noun,a1
cupboard,noun,a2
cure,noun,b2
cure,verb,b2
curly,adjective,a2
currency,noun,b1
current,adjective,b1
current,noun,b2
currently,adverb,b1
curtain,noun,b1
curve,noun,b2
curve,verb,b2
curved,adjective,b2
custom,noun,b1
customer,noun,a1
cut,noun,b1
cut,verb,a1
cycle,noun,a2
cycle,verb,a2
dad,noun,a1
daily,adjective,a2
daily,adverb,b1
damage,noun,b1
damage,verb,b1
dance,noun,a1
dance,verb,a1
dancer,noun,a1
dancing,noun,a1
danger,noun,a2
dangerous,adjective,a1
dark,adjective,a1
dark,noun,a2
data,noun,a2
date,noun,a1
date,verb,b2
daughter,noun,a1
day,noun,a1
dead,adjective,a2
deal,noun,b1
deal,verb,a2
dear,adjective,a1
dear,exclamation,a2
death,noun,a2
debate,noun,b2
debate,verb,b2
debt,noun,b2
decade,noun,b1
December,noun,a1
decent,adjective,b2
decide,verb,a1
decision,noun,a2
declare,verb,b2
decline,noun,b2
decline,verb,b2
decorate,verb,b1
decoration,noun,b2
decrease,noun,b2
decrease,verb,b2
deep,adjective,a2
deep,adverb,b1
deeply,adverb,b2
defeat,noun,b2
defeat,verb,b2
defence,noun,b2
defend,verb,b2
define,verb,b1
definite,adjective,b1
definitely,adverb,a2
definition,noun,b1
degree,noun,a2
delay,noun,b2
delay,verb,b2
deliberate,adjective,b2
deliberately,adverb,b2
delicious,adjective,a1
delight,noun,b2
delight,verb,b2
delighted,adjective,b2
deliver,verb,b1
delivery,noun,b2
demand,noun,b2
demand,verb,b2
demonstrate,verb,b2
dentist,noun,a2
deny,verb,b2
department,noun,a2
departure,noun,b1
depend,verb,a2
depressed,adjective,b2
depressing,adjective,b2
depth,noun,b2
describe,verb,a1
description,noun,a1
desert,noun,a2
desert,verb,b2
deserve,verb,b2
design,noun,a1
design,verb,a1
designer,noun,a2
desire,noun,b2
desire,verb,b2
desk,noun,a1
desperate,adjective,b2
despite,preposition,b1
destination,noun,b1
destroy,verb,a2
detail,noun,a1
detail,verb,b2
detailed,adjective,b2
detect,verb,b2
detective,noun,a2
determine,verb,b1
determined,adjective,b1
develop,verb,a2
development,noun,b1
device,noun,a2
diagram,noun,b1
dialogue,noun,a1
diamond,noun,b1
diary,noun,a2
dictionary,noun,a1
die,verb,a1
diet,noun,a1
difference,noun,a1
different,adjective,a1
differently,adverb,a2
difficult,adjective,a1
difficulty,noun,b1
dig,verb,b2
digital,adjective,a2
dinner,noun,a1
direct,adjective,a2
direct,adverb,b1
direct,verb,b1
direction,noun,a2
directly,adverb,b1
director,noun,a2
dirt,noun,b1
dirty,adjective,a1
disadvantage,noun,b1
disagree,verb,a2
disappear,verb,a2
disappointed,adjective,b1
disappointing,adjective,b1
disaster,noun,a2
disc,noun,b2
discipline,noun,b2
discount,noun,b1
discount,verb,b2
discover,verb,a2
discovery,noun,a2
discuss,verb,a1
discussion,noun,a2
disease,noun,a2
dish,noun,a1
dishonest,adjective,b2
disk,noun,b2
dislike,noun,b1
dislike,verb,b1
dismiss,verb,b2
display,noun,b2
display,verb,b2
distance,noun,a2
distribute,verb,b2
distribution,noun,b2
district,noun,b2
divide,noun,b2
divide,verb,b1
division,noun,b2
divorced,adjective,a2
do,verb,a1
do,auxiliary verb,a1
doctor,noun,a1
document,noun,a2
document,verb,b2
documentary,noun,b1
dog,noun,a1
dollar,noun,a1
domestic,adjective,b2
dominate,verb,b2
donate,verb,b1
door,noun,a1
double,adjective,a2
double,adverb,b1
double,determiner,a2
double,pronoun,a2
double,verb,a2
doubt,noun,b1
doubt,verb,b1
down,adverb,a1
down,preposition,a1
download,noun,a2
download,verb,a2
downstairs,adjective,a2
downstairs,adverb,a1
downwards,adverb,b2
dozen,determiner,b2
dozen,noun,b2
draft,noun,b2
draft,verb,b2
drag,verb,b2
drama,noun,a2
dramatic,adjective,b2
draw,verb,a1
drawing,noun,a2
dream,noun,a2
dream,verb,a2
dress,noun,a1
dress,verb,a1
dressed,adjective,b1
drink,noun,a1
drink,verb,a1
drive,noun,a2
drive,verb,a1
driver,noun,a1
driving,noun,a2
drop,noun,b1
drop,verb,a2
drug,noun,a2
drum,noun,b1
drunk,adjective,b1
dry,adjective,a2
dry,verb,a2
due,adjective,b1
during,preposition,a1
dust,noun,b1
duty,noun,b1
DVD,noun,a1
each,adverb,a1
each,determiner,a1
each,pronoun,a1
ear,noun,a1
early,adjective,a1
early,adverb,a1
earn,verb,a2
earth,noun,a2
earthquake,noun,b1
easily,adverb,a2
east,adjective,a1
east,adverb,a1
east,noun,a1
eastern,adjective,b1
easy,adjective,a1
eat,verb,a1
economic,adjective,b1
economy,noun,b1
edge,noun,b1
edit,verb,b2
edition,noun,b2
editor,noun,b1
educate,verb,b1
educated,adjective,b1
education,noun,a2
educational,adjective,b1
effect,noun,a2
effective,adjective,b1
effectively,adverb,b1
efficient,adjective,b2
effort,noun,b1
egg,noun,a1
eight,number,a1
eighteen,number,a1
eighty,number,a1
either,adverb,a2
either,determiner,a2
either,pronoun,a2
elderly,adjective,b2
elect,verb,b2
election,noun,b1
electric,adjective,a2
electrical,adjective,a2
electricity,noun,a2
electronic,adjective,a2
element,noun,b1
elephant,noun,a1
eleven,number,a1
else,adverb,a1
elsewhere,adverb,b2
email,noun,a1
email,verb,a1
embarrassed,adjective,b1
embarrassing,adjective,b1
emerge,verb,b2
emergency,noun,b1
emotion,noun,b1
emotional,adjective,b2
emphasis,noun,b2
emphasize,verb,b2
employ,verb,a2
employee,noun,a2
employer,noun,a2
employment,noun,b1
empty,adjective,a2
empty,verb,b1
enable,verb,b2
encounter,noun,b2
encounter,verb,b2
encourage,verb,b1
end,noun,a1
end,verb,a1
ending,noun,a2
enemy,noun,b1
energy,noun,a2
engage,verb,b2
engaged,adjective,b1
engine,noun,a2
engineer,noun,a2
engineering,noun,b1
enhance,verb,b2
enjoy,verb,a1
enormous,adjective,a2
enough,adverb,a1
enough,determiner,a1
enough,pronoun,a1
enquiry,noun,b2
ensure,verb,b2
enter,verb,a2
entertain,verb,b1
entertainment,noun,b1
enthusiasm,noun,b2
enthusiastic,adjective,b2
entire,adjective,b2
entirely,adverb,b2
entrance,noun,b1
entry,noun,b1
environment,noun,a2
environmental,adjective,b1
episode,noun,b1
equal,adjective,b1
equal,noun,b2
equal,verb,b1
equally,adverb,b1
equipment,noun,a2
error,noun,a2
escape,noun,b1
escape,verb,b1
especially,adverb,a2
essay,noun,a2
essential,adjective,b1
establish,verb,b2
estate,noun,b2
estimate,noun,b2
estimate,verb,b2
ethical,adjective,b2
euro,noun,a1
evaluate,verb,b2
even,adjective,b2
even,adverb,a1
evening,noun,a1
event,noun,a1
eventually,adverb,b1
ever,adverb,a1
every,determiner,a1
everybody,pronoun,a1
everyday,adjective,a2
everyone,pronoun,a1
everything,pronoun,a1
everywhere,adverb,a2
evidence,noun,a2
evil,adjective,b2
evil,noun,b2
exact,adjective,a2
exactly,adverb,a2
exam,noun,a1
examination,noun,b2
examine,verb,b1
example,noun,a1
excellent,adjective,a2
except,conjunction,b1
except,preposition,a2
exchange,noun,b1
exchange,verb,b1
excited,adjective,a1
excitement,noun,b1
exciting,adjective,a1
excuse,noun,b2
excuse,verb,b2
executive,adjective,b2
executive,noun,b2
exercise,noun,a1
exercise,verb,a1
exhibition,noun,b1
exist,verb,a2
existence,noun,b2
expand,verb,b1
expect,verb,a2
expectation,noun,b2
expected,adjective,b1
expedition,noun,b1
expense,noun,b2
expensive,adjective,a1
experience,noun,a2
experience,verb,b1
experienced,adjective,b1
experiment,noun,a2
experiment,verb,b1
expert,adjective,a2
expert,noun,a2
explain,verb,a1
explanation,noun,a2
explode,verb,b1
exploration,noun,b2
explore,verb,b1
explosion,noun,b1
export,noun,b1
export,verb,b1
expose,verb,b2
express,verb,a2
expression,noun,a2
extend,verb,b2
extent,noun,b2
external,adjective,b2
extra,adjective,a1
extra,adverb,b1
extra,noun,b1
extraordinary,adjective,b2
extreme,adjective,a2
extreme,noun,b2
extremely,adverb,a2
eye,noun,a1
face,noun,a1
face,verb,b1
facility,noun,b2
fact,noun,a1
factor,noun,a2
factory,noun,a2
fail,verb,a2
failure,noun,b2
fair,adjective,a2
fairly,adverb,b1
faith,noun,b2
fall,noun,a2
fall,verb,a1
false,adjective,a1
familiar,adjective,b1
family,adjective,a1
family,noun,a1
famous,adjective,a1
fan,noun,a2
fancy,adjective,b1
fancy,verb,b1
fantastic,adjective,a1
far,adjective,b1
far,adverb,a1
farm,noun,a1
farm,verb,a2
farmer,noun,a1
farming,noun,a2
fascinating,adjective,b1
fashion,noun,a2
fashionable,adjective,b1
fast,adjective,a1
fast,adverb,a1
fasten,verb,b1
fat,adjective,a1
fat,noun,a2
father,noun,a1
fault,noun,b2
favour,noun,b1
favour,verb,b2
favourite,adjective,a1
favourite,noun,a1
fear,noun,a2
fear,verb,b1
feather,noun,b2
feature,noun,a2
feature,verb,b1
February,noun,a1
fee,noun,b2
feed,noun,b2
feed,verb,a2
feedback,noun,b2
feel,noun,b2
feel,verb,a1
feeling,noun,a1
fellow,adjective,b2
female,adjective,a2
female,noun,a2
fence,noun,b1
festival,noun,a1
few,adjective,a1
few,determiner,a1
few,pronoun,a1
fiction,noun,a2
field,noun,a2
fifteen,number,a1
fifth,ordinal number,a1
fifty,number,a1
fight,noun,a2
fight,verb,a2
fighting,noun,b1
figure,noun,a2
figure,verb,b2
file,noun,b1
file,verb,b2
fill,verb,a1
film,noun,a1
film,verb,a2
final,adjective,a1
final,noun,a2
finally,adverb,a2
finance,noun,b2
finance,verb,b2
financial,adjective,b1
find,verb,a1
finding,noun,b2
fine,adjective,a1
finger,noun,a2
finish,noun,a2
finish,verb,a1
fire,noun,a1
fire,verb,b1
firm,noun,b2
first,adverb,a1
first,determiner,a1
first,noun,a2
first,ordinal number,a1
firstly,adverb,a2
fish,noun,a1
fish,verb,a2
fishing,noun,a2
fit,adjective,a2
fit,verb,a2
fitness,noun,b1
five,number,a1
fix,noun,b2
fix,verb,a2
fixed,adjective,b1
flag,noun,b1
flame,noun,b2
flash,noun,b2
flash,verb,b2
flat,adjective,a2
flat,noun,a1
flexible,adjective,b2
flight,noun,a1
float,verb,b2
flood,noun,b1
flood,verb,b1
floor,noun,a1
flour,noun,b1
flow,noun,b1
flow,verb,b1
flower,noun,a1
flu,noun,a2
fly,noun,a2
fly,verb,a1
flying,adjective,a2
flying,noun,a2
focus,noun,a2
focus,verb,a2
fold,noun,b2
fold,verb,b1
folding,adjective,b2
folk,adjective,b1
folk,noun,b1
follow,verb,a1
following,adjective,a2
following,noun,b1
following,preposition,b2
food,noun,a1
foot,noun,a1
football,noun,a1
for,preposition,a1
force,noun,b1
force,verb,b1
foreign,adjective,a2
forest,noun,a2
forever,adverb,b1
forget,verb,a1
forgive,verb,b2
fork,noun,a2
form,noun,a1
form,verb,a1
formal,adjective,a2
former,adjective,b2
fortunately,adverb,a2
fortune,noun,b2
forty,number,a1
forward,adjective,b2
forward,adverb,a2
found,verb,b2
four,number,a1
fourteen,number,a1
fourth,ordinal number,a1
frame,noun,b1
frame,verb,b1
free,adjective,a1
free,adverb,a2
free,verb,b2
freedom,noun,b2
freeze,verb,b1
frequency,noun,b2
frequently,adverb,b1
fresh,adjective,a2
Friday,noun,a1
fridge,noun,a2
friend,noun,a1
friendly,adjective,a1
friendship,noun,b1
frighten,verb,b1
frightened,adjective,b1
frightening,adjective,b1
frog,noun,a2
from,preposition,a1
front,adjective,a1
front,noun,a1
frozen,adjective,b1
fruit,noun,a1
fry,verb,b1
fuel,noun,b1
fuel,verb,b2
full,adjective,a1
fully,adverb,b2
fun,adjective,a2
fun,noun,a1
function,noun,b1
function,verb,b2
fund,noun,b2
fund,verb,b2
fundamental,adjective,b2
funding,noun,b2
funny,adjective,a1
fur,noun,b1
furniture,noun,a2
further,adjective,a2
further,adverb,b1
furthermore,adverb,b2
future,adjective,a2
future,noun,a1
gain,noun,b2
gain,verb,b2
gallery,noun,a2
game,noun,a1
gang,noun,b2
gap,noun,a2
garage,noun,b1
garden,noun,a1
gas,noun,a2
gate,noun,a2
gather,verb,b1
general,adjective,a2
generally,adverb,b1
generate,verb,b2
generation,noun,b1
generous,adjective,b1
genre,noun,b2
gentle,adjective,b1
gentleman,noun,b1
geography,noun,a1
get,verb,a1
ghost,noun,b1
giant,adjective,b1
giant,noun,b1
gift,noun,a2
girl,noun,a1
girlfriend,noun,a1
give,verb,a1
glad,adjective,b1
glass,noun,a1
global,adjective,b1
glove,noun,b1
go,noun,b1
go,verb,a1
goal,noun,a2
god,noun,a2
gold,adjective,a2
gold,noun,a2
golf,noun,a2
good,adjective,a1
good,noun,a2
goodbye,exclamation,a1
goodbye,noun,a1
goods,noun,b1
govern,verb,b2
government,noun,a2
grab,verb,b2
grade,noun,b1
grade,verb,b2
gradually,adverb,b2
